Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
233.67	0.79079	15.815	0.063230	3.7735	3.8235	18.130	44.886	83.371	925.89	-0.14790	94.585	0.12264	0.0086537	0.47496	2.1054	14.468	16.133	70.810	40.677	56.621	253.51	23.731	7.3683	0.015015
234.03	0.80007	15.796	0.063305	3.8029	3.8535	18.256	44.908	83.489	922.93	-0.14441	94.199	0.12234	0.0086012	0.48045	2.0814	14.476	16.141	70.760	40.736	56.768	253.45	23.660	7.3813	0.015068
234.39	0.80943	15.778	0.063381	3.8323	3.8836	18.382	44.931	83.608	919.97	-0.14089	93.815	0.12203	0.0085487	0.48599	2.0577	14.483	16.149	70.711	40.795	56.917	253.38	23.590	7.3943	0.015122
234.75	0.81887	15.759	0.063457	3.8617	3.9137	18.507	44.955	83.727	917.00	-0.13733	93.432	0.12173	0.0084962	0.49158	2.0342	14.491	16.157	70.661	40.854	57.067	253.32	23.521	7.4073	0.015176
235.10	0.82839	15.740	0.063534	3.8912	3.9438	18.633	44.978	83.848	914.04	-0.13374	93.051	0.12143	0.0084439	0.49723	2.0112	14.498	16.164	70.612	40.914	57.218	253.25	23.452	7.4204	0.015229
235.46	0.83799	15.721	0.063611	3.9207	3.9740	18.759	45.002	83.970	911.07	-0.13012	92.671	0.12113	0.0083915	0.50292	1.9884	14.506	16.172	70.563	40.974	57.370	253.18	23.384	7.4335	0.015284
235.82	0.84767	15.701	0.063689	3.9502	4.0042	18.884	45.025	84.093	908.10	-0.12646	92.292	0.12082	0.0083392	0.50867	1.9659	14.513	16.179	70.514	41.033	57.524	253.11	23.316	7.4467	0.015338
236.18	0.85744	15.682	0.063766	3.9797	4.0344	19.010	45.049	84.217	905.12	-0.12276	91.915	0.12052	0.0082870	0.51448	1.9437	14.520	16.187	70.465	41.093	57.678	253.04	23.249	7.4599	0.015393
236.54	0.86729	15.663	0.063845	4.0093	4.0647	19.135	45.073	84.342	902.15	-0.11903	91.539	0.12022	0.0082348	0.52033	1.9218	14.528	16.194	70.416	41.153	57.835	252.96	23.182	7.4731	0.015448
236.89	0.87721	15.644	0.063923	4.0390	4.0950	19.261	45.097	84.468	899.17	-0.11526	91.164	0.11992	0.0081826	0.52624	1.9003	14.535	16.202	70.367	41.214	57.992	252.88	23.116	7.4864	0.015503
237.25	0.88723	15.624	0.064002	4.0686	4.1254	19.386	45.122	84.596	896.19	-0.11146	90.790	0.11962	0.0081305	0.53221	1.8790	14.542	16.209	70.319	41.274	58.151	252.81	23.050	7.4997	0.015558
237.61	0.89732	15.605	0.064082	4.0984	4.1559	19.512	45.146	84.724	893.20	-0.10762	90.418	0.11932	0.0080785	0.53823	1.8579	14.549	16.217	70.270	41.334	58.312	252.73	22.985	7.5131	0.015614
237.97	0.90750	15.586	0.064161	4.1281	4.1863	19.637	45.171	84.854	890.22	-0.10374	90.047	0.11902	0.0080265	0.54431	1.8372	14.557	16.224	70.222	41.395	58.473	252.64	22.920	7.5266	0.015670
238.33	0.91776	15.566	0.064242	4.1579	4.2168	19.762	45.196	84.985	887.23	-0.099822	89.677	0.11872	0.0079745	0.55044	1.8167	14.564	16.231	70.173	41.456	58.637	252.56	22.856	7.5400	0.015726
238.69	0.92811	15.547	0.064322	4.1877	4.2474	19.888	45.221	85.117	884.24	-0.095866	89.309	0.11842	0.0079226	0.55663	1.7965	14.571	16.238	70.125	41.517	58.801	252.47	22.792	7.5536	0.015783
239.04	0.93854	15.527	0.064403	4.2175	4.2780	20.013	45.246	85.250	881.25	-0.091869	88.942	0.11812	0.0078708	0.56288	1.7766	14.578	16.245	70.077	41.578	58.968	252.39	22.729	7.5671	0.015840
239.40	0.94906	15.508	0.064485	4.2474	4.3086	20.138	45.272	85.385	878.25	-0.087833	88.576	0.11782	0.0078190	0.56919	1.7569	14.585	16.252	70.029	41.639	59.135	252.30	22.667	7.5807	0.015897
239.76	0.95967	15.488	0.064567	4.2774	4.3393	20.264	45.297	85.520	875.25	-0.083756	88.211	0.11752	0.0077672	0.57555	1.7375	14.592	16.259	69.980	41.701	59.305	252.21	22.604	7.5944	0.015955
