Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
464.30	3.3986	17.809	0.056152	14.385	14.576	35.785	102.40	155.90	497.92	0.42575	91.246	0.16901	0.0055776	1.3344	0.74941	33.443	35.990	81.906	136.35	259.30	285.81	15.723	14.478	0.045941
464.86	3.4361	17.769	0.056278	14.468	14.661	35.964	102.54	156.61	495.07	0.43523	90.698	0.16891	0.0055085	1.3512	0.74006	33.440	35.983	81.831	135.98	258.89	285.36	15.599	14.507	0.046190
465.42	3.4740	17.729	0.056406	14.551	14.747	36.143	102.68	157.34	492.21	0.44490	90.152	0.16882	0.0054395	1.3683	0.73084	33.437	35.976	81.757	135.60	258.50	284.91	15.479	14.535	0.046443
465.98	3.5121	17.688	0.056536	14.634	14.832	36.323	102.82	158.07	489.33	0.45476	89.608	0.16873	0.0053704	1.3855	0.72174	33.434	35.969	81.682	135.22	258.13	284.44	15.362	14.564	0.046699
466.54	3.5506	17.647	0.056667	14.717	14.919	36.503	102.96	158.83	486.45	0.46484	89.065	0.16864	0.0053012	1.4030	0.71276	33.432	35.962	81.608	134.83	257.80	283.97	15.250	14.594	0.046957
467.11	3.5893	17.606	0.056799	14.801	15.005	36.684	103.10	159.59	483.54	0.47513	88.524	0.16855	0.0052320	1.4207	0.70389	33.429	35.955	81.534	134.44	257.50	283.48	15.141	14.624	0.047220
467.67	3.6284	17.564	0.056934	14.885	15.092	36.865	103.24	160.38	480.63	0.48564	87.985	0.16846	0.0051628	1.4386	0.69513	33.426	35.948	81.460	134.04	257.24	282.98	15.037	14.655	0.047486
468.23	3.6678	17.522	0.057070	14.970	15.179	37.046	103.39	161.17	477.70	0.49638	87.447	0.16837	0.0050936	1.4567	0.68648	33.423	35.941	81.386	133.64	257.03	282.46	14.937	14.686	0.047756
468.79	3.7076	17.480	0.057208	15.055	15.267	37.228	103.53	161.99	474.76	0.50736	86.910	0.16827	0.0050243	1.4751	0.67793	33.419	35.933	81.312	133.24	256.87	281.94	14.841	14.717	0.048030
469.35	3.7476	17.438	0.057347	15.140	15.355	37.411	103.68	162.82	471.80	0.51859	86.375	0.16818	0.0049550	1.4937	0.66948	33.416	35.925	81.238	132.84	256.78	281.40	14.750	14.749	0.048309
469.91	3.7880	17.395	0.057489	15.225	15.443	37.594	103.82	163.68	468.83	0.53007	85.842	0.16809	0.0048857	1.5126	0.66113	33.412	35.917	81.163	132.43	256.76	280.84	14.663	14.782	0.048592
470.48	3.8287	17.351	0.057632	15.311	15.531	37.777	103.97	164.55	465.84	0.54182	85.310	0.16800	0.0048163	1.5317	0.65288	33.408	35.908	81.088	132.03	256.81	280.27	14.581	14.815	0.048880
471.04	3.8697	17.308	0.057777	15.397	15.620	37.961	104.12	165.44	462.83	0.55385	84.779	0.16791	0.0047470	1.5511	0.64471	33.404	35.899	81.012	131.63	256.95	279.68	14.504	14.849	0.049174
471.60	3.9111	17.264	0.057925	15.483	15.710	38.145	104.27	166.35	459.81	0.56617	84.250	0.16782	0.0046776	1.5708	0.63663	33.400	35.890	80.936	131.23	257.18	279.08	14.431	14.884	0.049473
472.16	3.9528	17.219	0.058074	15.570	15.799	38.330	104.42	167.29	456.77	0.57878	83.722	0.16772	0.0046082	1.5908	0.62863	33.395	35.880	80.859	130.83	257.51	278.45	14.363	14.919	0.049778
