Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
91.776	0.11927	35.415	0.028236	-4.1842	-4.1808	95.084	29.536	54.525	891.22	-0.30650	186.75	0.14855	0.012749	0.16215	6.1670	1.8509	2.5864	168.82	21.564	31.140	178.68	22.697	7.0755	0.0083290
91.944	0.12129	35.389	0.028257	-4.1751	-4.1717	95.183	29.516	54.541	889.84	-0.30586	185.94	0.14830	0.012708	0.16468	6.0725	1.8537	2.5902	168.73	21.559	31.151	178.81	22.617	7.0886	0.0083485
92.111	0.12333	35.363	0.028278	-4.1660	-4.1625	95.282	29.497	54.558	888.45	-0.30521	185.15	0.14806	0.012666	0.16723	5.9799	1.8565	2.5940	168.63	21.555	31.162	178.93	22.537	7.1018	0.0083680
92.278	0.12540	35.337	0.028299	-4.1569	-4.1534	95.381	29.477	54.575	887.07	-0.30456	184.35	0.14782	0.012625	0.16981	5.8890	1.8592	2.5977	168.54	21.551	31.173	179.06	22.459	7.1150	0.0083876
92.445	0.12750	35.310	0.028320	-4.1478	-4.1442	95.479	29.458	54.592	885.68	-0.30390	183.56	0.14758	0.012584	0.17242	5.7998	1.8620	2.6015	168.45	21.547	31.185	179.18	22.382	7.1282	0.0084071
92.612	0.12963	35.284	0.028341	-4.1387	-4.1351	95.577	29.439	54.610	884.30	-0.30324	182.78	0.14734	0.012542	0.17506	5.7123	1.8647	2.6052	168.36	21.543	31.197	179.31	22.307	7.1413	0.0084267
92.779	0.13178	35.258	0.028362	-4.1296	-4.1259	95.676	29.420	54.627	882.91	-0.30257	182.00	0.14709	0.012501	0.17773	5.6265	1.8675	2.6089	168.27	21.540	31.210	179.43	22.232	7.1545	0.0084464
92.946	0.13396	35.232	0.028384	-4.1205	-4.1167	95.774	29.400	54.645	881.52	-0.30189	181.23	0.14685	0.012459	0.18043	5.5422	1.8702	2.6126	168.17	21.537	31.223	179.55	22.159	7.1677	0.0084661
93.113	0.13617	35.205	0.028405	-4.1114	-4.1076	95.871	29.381	54.663	880.13	-0.30121	180.46	0.14661	0.012418	0.18317	5.4595	1.8729	2.6163	168.08	21.533	31.236	179.67	22.087	7.1809	0.0084858
93.280	0.13840	35.179	0.028426	-4.1023	-4.0984	95.969	29.362	54.681	878.74	-0.30053	179.70	0.14637	0.012377	0.18593	5.3783	1.8756	2.6200	167.99	21.531	31.250	179.79	22.015	7.1941	0.0085056
93.447	0.14066	35.152	0.028448	-4.0932	-4.0892	96.067	29.343	54.699	877.35	-0.29984	178.94	0.14612	0.012335	0.18873	5.2987	1.8783	2.6237	167.90	21.528	31.265	179.91	21.945	7.2073	0.0085254
93.614	0.14295	35.126	0.028469	-4.0841	-4.0801	96.164	29.324	54.718	875.96	-0.29914	178.19	0.14588	0.012294	0.19155	5.2205	1.8810	2.6273	167.81	21.526	31.279	180.03	21.876	7.2204	0.0085452
93.781	0.14527	35.099	0.028491	-4.0750	-4.0709	96.261	29.305	54.737	874.57	-0.29844	177.44	0.14564	0.012253	0.19441	5.1437	1.8837	2.6310	167.72	21.524	31.295	180.15	21.808	7.2336	0.0085651
93.948	0.14762	35.073	0.028512	-4.0659	-4.0617	96.358	29.287	54.756	873.18	-0.29774	176.70	0.14540	0.012212	0.19730	5.0683	1.8864	2.6346	167.64	21.522	31.310	180.27	21.741	7.2468	0.0085850
