Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
81.208	0.096454	28.386	0.035229	-0.029352	-0.025954	-0.31664	32.076	60.074	871.56	-0.32409	168.05	0.14105	0.0096105	0.14878	6.7213	5.3557	6.0040	73.937	21.789	31.606	179.34	28.284	5.4573	0.0070100
81.316	0.097658	28.369	0.035250	-0.022894	-0.019452	-0.23715	32.054	60.081	870.50	-0.32350	167.39	0.14085	0.0095875	0.15049	6.6448	5.3574	6.0063	73.867	21.797	31.628	179.42	28.212	5.4655	0.0070215
81.423	0.098872	28.352	0.035271	-0.016436	-0.012949	-0.15776	32.032	60.089	869.44	-0.32290	166.73	0.14065	0.0095644	0.15222	6.5695	5.3591	6.0087	73.797	21.805	31.651	179.50	28.140	5.4738	0.0070331
81.531	0.10010	28.335	0.035291	-0.0099781	-0.0064454	-0.078472	32.010	60.096	868.38	-0.32231	166.08	0.14045	0.0095414	0.15396	6.4952	5.3608	6.0110	73.727	21.813	31.675	179.58	28.069	5.4820	0.0070446
81.639	0.10134	28.319	0.035312	-0.0035191	5.9347e-05	0.00072204	31.988	60.104	867.31	-0.32170	165.43	0.14025	0.0095184	0.15572	6.4219	5.3625	6.0133	73.657	21.822	31.698	179.65	27.998	5.4903	0.0070562
81.747	0.10259	28.302	0.035333	0.0029405	0.0065652	0.079819	31.966	60.113	866.25	-0.32110	164.79	0.14006	0.0094954	0.15749	6.3496	5.3642	6.0156	73.588	21.830	31.721	179.73	27.927	5.4986	0.0070678
81.855	0.10385	28.285	0.035354	0.0094006	0.013072	0.15882	31.944	60.121	865.19	-0.32049	164.14	0.13986	0.0094724	0.15928	6.2784	5.3659	6.0179	73.519	21.839	31.745	179.81	27.857	5.5069	0.0070794
81.963	0.10512	28.268	0.035376	0.015861	0.019580	0.23772	31.922	60.129	864.12	-0.31987	163.51	0.13966	0.0094494	0.16108	6.2082	5.3676	6.0202	73.450	21.847	31.769	179.89	27.787	5.5152	0.0070910
82.070	0.10640	28.251	0.035397	0.022323	0.026089	0.31653	31.901	60.138	863.06	-0.31925	162.87	0.13946	0.0094265	0.16290	6.1389	5.3693	6.0225	73.381	21.856	31.793	179.97	27.718	5.5235	0.0071026
82.178	0.10770	28.234	0.035418	0.028785	0.032599	0.39525	31.879	60.147	861.99	-0.31863	162.24	0.13927	0.0094035	0.16473	6.0706	5.3710	6.0248	73.312	21.864	31.817	180.04	27.648	5.5318	0.0071143
82.286	0.10901	28.218	0.035439	0.035248	0.039111	0.47387	31.857	60.156	860.93	-0.31800	161.62	0.13907	0.0093805	0.16658	6.0032	5.3727	6.0271	73.244	21.873	31.841	180.12	27.580	5.5401	0.0071259
82.394	0.11033	28.201	0.035460	0.041711	0.045623	0.55239	31.836	60.165	859.86	-0.31737	160.99	0.13887	0.0093576	0.16844	5.9368	5.3743	6.0294	73.176	21.882	31.866	180.20	27.511	5.5485	0.0071376
82.502	0.11166	28.184	0.035482	0.048175	0.052137	0.63082	31.814	60.175	858.80	-0.31673	160.38	0.13867	0.0093346	0.17032	5.8713	5.3760	6.0316	73.108	21.891	31.890	180.27	27.443	5.5568	0.0071494
82.610	0.11301	28.167	0.035503	0.054640	0.058652	0.70916	31.793	60.184	857.73	-0.31609	159.76	0.13848	0.0093117	0.17222	5.8067	5.3777	6.0339	73.040	21.899	31.915	180.35	27.375	5.5652	0.0071611
82.717	0.11437	28.150	0.035524	0.061105	0.065168	0.78740	31.771	60.194	856.66	-0.31544	159.15	0.13828	0.0092887	0.17413	5.7429	5.3794	6.0362	72.973	21.908	31.940	180.42	27.307	5.5735	0.0071728
82.825	0.11574	28.133	0.035546	0.067572	0.071686	0.86556	31.750	60.204	855.60	-0.31479	158.54	0.13808	0.0092658	0.17605	5.6801	5.3810	6.0384	72.905	21.917	31.965	180.50	27.240	5.5819	0.0071846
82.933	0.11712	28.116	0.035567	0.074039	0.078204	0.94362	31.729	60.214	854.53	-0.31414	157.94	0.13788	0.0092429	0.17800	5.6181	5.3827	6.0407	72.838	21.926	31.990	180.57	27.173	5.5903	0.0071964
83.041	0.11852	28.099	0.035589	0.080507	0.084724	1.0216	31.708	60.224	853.46	-0.31348	157.34	0.13769	0.0092200	0.17996	5.5569	5.3843	6.0429	72.771	21.935	32.016	180.65	27.106	5.5986	0.0072082
83.149	0.11992	28.082	0.035610	0.086975	0.091246	1.0995	31.687	60.235	852.39	-0.31282	156.74	0.13749	0.0091971	0.18193	5.4966	5.3860	6.0451	72.705	21.944	32.042	180.72	27.040	5.6070	0.0072201
83.257	0.12134	28.065	0.035632	0.093445	0.097768	1.1772	31.666	60.245	851.32	-0.31215	156.14	0.13729	0.0091742	0.18392	5.4370	5.3876	6.0474	72.638	21.953	32.067	180.80	26.974	5.6154	0.0072319
83.364	0.12278	28.048	0.035653	0.099915	0.10429	1.2549	31.645	60.256	850.25	-0.31148	155.55	0.13710	0.0091513	0.18593	5.3783	5.3892	6.0496	72.572	21.962	32.093	180.87	26.908	5.6238	0.0072438
83.472	0.12422	28.031	0.035675	0.10639	0.11082	1.3325	31.624	60.267	849.18	-0.31080	154.97	0.13690	0.0091284	0.18796	5.3204	5.3909	6.0518	72.506	21.971	32.119	180.94	26.843	5.6322	0.0072557
83.580	0.12568	28.014	0.035697	0.11286	0.11734	1.4101	31.603	60.278	848.12	-0.31012	154.38	0.13670	0.0091055	0.19000	5.2632	5.3925	6.0540	72.440	21.980	32.146	181.01	26.778	5.6407	0.0072676
83.688	0.12715	27.997	0.035719	0.11933	0.12387	1.4875	31.582	60.290	847.04	-0.30943	153.80	0.13650	0.0090826	0.19206	5.2068	5.3941	6.0562	72.374	21.990	32.172	181.09	26.713	5.6491	0.0072795
83.796	0.12864	27.979	0.035740	0.12580	0.13040	1.5648	31.561	60.301	845.97	-0.30874	153.22	0.13631	0.0090598	0.19413	5.1512	5.3958	6.0584	72.308	21.999	32.199	181.16	26.648	5.6575	0.0072915
83.904	0.13014	27.962	0.035762	0.13228	0.13693	1.6421	31.541	60.313	844.90	-0.30804	152.65	0.13611	0.0090369	0.19622	5.0963	5.3974	6.0606	72.243	22.008	32.226	181.23	26.584	5.6660	0.0073035
84.011	0.13165	27.945	0.035784	0.13875	0.14347	1.7192	31.520	60.325	843.83	-0.30734	152.08	0.13591	0.0090141	0.19833	5.0421	5.3990	6.0628	72.177	22.018	32.253	181.30	26.520	5.6744	0.0073155
84.119	0.13317	27.928	0.035806	0.14523	0.15000	1.7963	31.500	60.337	842.76	-0.30664	151.51	0.13572	0.0089912	0.20046	4.9886	5.4006	6.0649	72.112	22.027	32.280	181.37	26.457	5.6829	0.0073275
84.227	0.13471	27.911	0.035828	0.15171	0.15653	1.8733	31.479	60.349	841.69	-0.30593	150.95	0.13552	0.0089684	0.20260	4.9359	5.4022	6.0671	72.048	22.037	32.307	181.44	26.393	5.6914	0.0073395
84.335	0.13626	27.894	0.035850	0.15819	0.16307	1.9502	31.459	60.362	840.61	-0.30522	150.39	0.13532	0.0089456	0.20476	4.8838	5.4038	6.0693	71.983	22.046	32.335	181.51	26.330	5.6998	0.0073516
84.443	0.13782	27.877	0.035872	0.16467	0.16961	2.0270	31.438	60.374	839.54	-0.30450	149.83	0.13512	0.0089228	0.20694	4.8324	5.4054	6.0714	71.918	22.056	32.362	181.58	26.267	5.7083	0.0073637
84.551	0.13940	27.859	0.035895	0.17115	0.17615	2.1038	31.418	60.387	838.47	-0.30377	149.28	0.13493	0.0089000	0.20913	4.7817	5.4070	6.0736	71.854	22.065	32.390	181.65	26.205	5.7168	0.0073758
84.658	0.14099	27.842	0.035917	0.17763	0.18269	2.1804	31.398	60.400	837.39	-0.30304	148.72	0.13473	0.0088772	0.21134	4.7317	5.4086	6.0757	71.790	22.075	32.418	181.72	26.143	5.7253	0.0073879
84.766	0.14260	27.825	0.035939	0.18411	0.18923	2.2570	31.377	60.413	836.32	-0.30231	148.18	0.13453	0.0088544	0.21357	4.6823	5.4102	6.0779	71.726	22.085	32.447	181.79	26.081	5.7338	0.0074001
84.874	0.14422	27.808	0.035961	0.19059	0.19578	2.3334	31.357	60.427	835.24	-0.30157	147.63	0.13434	0.0088316	0.21582	4.6335	5.4118	6.0800	71.662	22.094	32.475	181.85	26.019	5.7424	0.0074122
84.982	0.14585	27.790	0.035984	0.19708	0.20233	2.4098	31.337	60.440	834.17	-0.30083	147.09	0.13414	0.0088088	0.21808	4.5854	5.4133	6.0821	71.599	22.104	32.504	181.92	25.958	5.7509	0.0074244
85.090	0.14750	27.773	0.036006	0.20356	0.20887	2.4861	31.317	60.454	833.09	-0.30008	146.55	0.13394	0.0087860	0.22037	4.5379	5.4149	6.0842	71.535	22.114	32.532	181.99	25.897	5.7594	0.0074366
85.198	0.14916	27.756	0.036029	0.21005	0.21542	2.5624	31.297	60.468	832.02	-0.29933	146.01	0.13375	0.0087633	0.22267	4.4910	5.4165	6.0864	71.472	22.124	32.561	182.06	25.836	5.7680	0.0074489
85.305	0.15083	27.738	0.036051	0.21654	0.22198	2.6385	31.277	60.482	830.94	-0.29857	145.48	0.13355	0.0087405	0.22498	4.4448	5.4180	6.0885	71.409	22.134	32.591	182.12	25.776	5.7765	0.0074612
85.413	0.15252	27.721	0.036074	0.22303	0.22853	2.7145	31.257	60.496	829.86	-0.29781	144.95	0.13335	0.0087178	0.22732	4.3991	5.4196	6.0906	71.346	22.144	32.620	182.19	25.715	5.7851	0.0074734
85.521	0.15423	27.704	0.036096	0.22952	0.23508	2.7905	31.238	60.511	828.79	-0.29704	144.42	0.13315	0.0086950	0.22968	4.3540	5.4212	6.0926	71.283	22.154	32.649	182.26	25.655	5.7937	0.0074858
85.629	0.15594	27.686	0.036119	0.23601	0.24164	2.8664	31.218	60.526	827.71	-0.29626	143.90	0.13296	0.0086723	0.23205	4.3094	5.4227	6.0947	71.221	22.164	32.679	182.32	25.596	5.8023	0.0074981
