Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
224.62	0.72390	26.110	0.038299	4.1904	4.2182	26.062	42.406	86.965	917.93	-0.11275	221.62	0.16718	0.014621	0.43122	2.3190	17.383	19.062	92.147	28.730	42.364	223.47	23.725	11.296	0.011862
224.76	0.72814	26.098	0.038317	4.2030	4.2309	26.118	42.397	86.987	916.88	-0.11210	221.08	0.16700	0.014587	0.43366	2.3060	17.385	19.064	92.112	28.750	42.411	223.48	23.684	11.303	0.011876
224.91	0.73239	26.085	0.038336	4.2155	4.2436	26.174	42.389	87.009	915.82	-0.11145	220.55	0.16682	0.014554	0.43611	2.2930	17.386	19.066	92.077	28.770	42.459	223.48	23.643	11.311	0.011891
225.05	0.73666	26.073	0.038354	4.2281	4.2564	26.230	42.380	87.032	914.77	-0.11080	220.02	0.16664	0.014520	0.43857	2.2801	17.388	19.068	92.042	28.789	42.507	223.49	23.602	11.318	0.011905
225.20	0.74096	26.061	0.038372	4.2407	4.2691	26.286	42.372	87.055	913.72	-0.11015	219.49	0.16646	0.014487	0.44105	2.2673	17.389	19.069	92.007	28.809	42.555	223.50	23.562	11.326	0.011919
225.35	0.74527	26.048	0.038390	4.2532	4.2818	26.342	42.363	87.077	912.67	-0.10949	218.96	0.16628	0.014453	0.44353	2.2546	17.391	19.071	91.972	28.829	42.603	223.50	23.521	11.333	0.011934
225.49	0.74960	26.036	0.038409	4.2658	4.2946	26.397	42.355	87.100	911.62	-0.10883	218.43	0.16610	0.014419	0.44602	2.2420	17.393	19.073	91.937	28.850	42.652	223.51	23.481	11.341	0.011948
225.64	0.75395	26.023	0.038427	4.2784	4.3073	26.453	42.347	87.123	910.57	-0.10817	217.91	0.16592	0.014386	0.44853	2.2295	17.394	19.075	91.902	28.870	42.701	223.51	23.441	11.348	0.011963
225.78	0.75831	26.011	0.038446	4.2909	4.3201	26.509	42.338	87.146	909.51	-0.10751	217.39	0.16574	0.014352	0.45105	2.2171	17.396	19.077	91.868	28.890	42.749	223.52	23.401	11.356	0.011977
225.93	0.76270	25.998	0.038464	4.3035	4.3328	26.565	42.330	87.170	908.46	-0.10684	216.86	0.16556	0.014319	0.45358	2.2047	17.397	19.079	91.833	28.910	42.799	223.52	23.361	11.364	0.011992
226.08	0.76711	25.986	0.038482	4.3161	4.3456	26.620	42.321	87.193	907.41	-0.10617	216.34	0.16538	0.014285	0.45612	2.1924	17.399	19.081	91.798	28.930	42.848	223.53	23.321	11.371	0.012007
226.22	0.77153	25.973	0.038501	4.3287	4.3584	26.676	42.313	87.217	906.36	-0.10549	215.82	0.16520	0.014252	0.45867	2.1802	17.400	19.083	91.764	28.950	42.897	223.53	23.281	11.379	0.012021
226.37	0.77597	25.961	0.038519	4.3412	4.3711	26.732	42.305	87.241	905.31	-0.10482	215.31	0.16502	0.014218	0.46123	2.1681	17.402	19.084	91.729	28.971	42.947	223.54	23.241	11.386	0.012036
226.51	0.78044	25.948	0.038538	4.3538	4.3839	26.787	42.297	87.265	904.26	-0.10414	214.79	0.16484	0.014185	0.46380	2.1561	17.403	19.086	91.694	28.991	42.996	223.54	23.202	11.394	0.012050
226.66	0.78492	25.936	0.038557	4.3664	4.3967	26.843	42.288	87.289	903.20	-0.10346	214.27	0.16467	0.014152	0.46639	2.1442	17.405	19.088	91.660	29.011	43.046	223.54	23.162	11.401	0.012065
226.80	0.78942	25.923	0.038575	4.3790	4.4095	26.899	42.280	87.313	902.15	-0.10277	213.76	0.16449	0.014118	0.46898	2.1323	17.407	19.090	91.625	29.032	43.097	223.55	23.123	11.409	0.012080
226.95	0.79394	25.911	0.038594	4.3916	4.4222	26.954	42.272	87.338	901.10	-0.10208	213.25	0.16431	0.014085	0.47159	2.1205	17.408	19.092	91.591	29.052	43.147	223.55	23.084	11.416	0.012095
227.10	0.79848	25.898	0.038613	4.4042	4.4350	27.010	42.263	87.362	900.05	-0.10139	212.74	0.16413	0.014051	0.47421	2.1088	17.410	19.093	91.556	29.073	43.197	223.55	23.045	11.424	0.012109
227.24	0.80304	25.886	0.038631	4.4168	4.4478	27.065	42.255	87.387	899.00	-0.10070	212.23	0.16395	0.014018	0.47684	2.0972	17.411	19.095	91.522	29.093	43.248	223.56	23.006	11.432	0.012124
227.39	0.80761	25.873	0.038650	4.4294	4.4606	27.121	42.247	87.412	897.94	-0.10000	211.72	0.16377	0.013985	0.47948	2.0856	17.413	19.097	91.488	29.114	43.299	223.56	22.967	11.439	0.012139
227.53	0.81221	25.861	0.038669	4.4420	4.4734	27.176	42.239	87.437	896.89	-0.099301	211.21	0.16359	0.013951	0.48213	2.0741	17.414	19.099	91.453	29.134	43.350	223.56	22.928	11.447	0.012154
