Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
68.720	0.031828	30.128	0.033192	-3.9104	-3.9094	72.695	31.883	56.341	938.66	-0.38477	233.97	0.16208	0.010877	0.056766	17.616	1.3991	1.9598	158.10	21.185	30.149	167.15	34.084	4.7878	0.0062152
68.825	0.032342	30.112	0.033210	-3.9045	-3.9034	72.781	31.863	56.348	937.60	-0.38434	232.79	0.16187	0.010852	0.057607	17.359	1.4010	1.9624	158.01	21.189	30.161	167.25	33.978	4.7957	0.0062266
68.930	0.032862	30.096	0.033227	-3.8986	-3.8975	72.867	31.844	56.355	936.54	-0.38392	231.63	0.16166	0.010827	0.058457	17.107	1.4029	1.9651	157.92	21.193	30.172	167.36	33.873	4.8035	0.0062380
69.035	0.033388	30.080	0.033245	-3.8927	-3.8916	72.953	31.824	56.363	935.48	-0.38349	230.47	0.16145	0.010802	0.059317	16.859	1.4048	1.9677	157.83	21.197	30.184	167.47	33.769	4.8113	0.0062494
69.140	0.033922	30.064	0.033263	-3.8868	-3.8856	73.038	31.805	56.370	934.42	-0.38307	229.32	0.16124	0.010778	0.060187	16.615	1.4067	1.9703	157.74	21.201	30.197	167.57	33.665	4.8192	0.0062609
69.245	0.034462	30.048	0.033280	-3.8808	-3.8797	73.124	31.785	56.377	933.36	-0.38264	228.18	0.16103	0.010753	0.061067	16.376	1.4086	1.9730	157.65	21.205	30.209	167.68	33.561	4.8270	0.0062723
69.350	0.035009	30.032	0.033298	-3.8749	-3.8738	73.209	31.766	56.385	932.30	-0.38220	227.05	0.16082	0.010728	0.061956	16.140	1.4105	1.9756	157.55	21.209	30.221	167.78	33.459	4.8349	0.0062837
69.455	0.035562	30.016	0.033316	-3.8690	-3.8678	73.295	31.746	56.393	931.24	-0.38177	225.92	0.16061	0.010704	0.062855	15.910	1.4124	1.9782	157.46	21.214	30.233	167.89	33.357	4.8427	0.0062952
69.560	0.036123	30.000	0.033334	-3.8631	-3.8619	73.380	31.727	56.400	930.18	-0.38133	224.81	0.16040	0.010679	0.063765	15.683	1.4143	1.9808	157.37	21.218	30.246	167.99	33.255	4.8506	0.0063066
69.665	0.036690	29.984	0.033351	-3.8572	-3.8559	73.465	31.707	56.408	929.12	-0.38089	223.70	0.16019	0.010654	0.064684	15.460	1.4162	1.9834	157.29	21.222	30.259	168.09	33.154	4.8584	0.0063181
69.770	0.037264	29.968	0.033369	-3.8513	-3.8500	73.550	31.688	56.416	928.06	-0.38045	222.60	0.15998	0.010630	0.065614	15.241	1.4181	1.9860	157.20	21.226	30.271	168.20	33.054	4.8663	0.0063296
69.875	0.037846	29.952	0.033387	-3.8453	-3.8441	73.635	31.669	56.423	927.00	-0.38000	221.51	0.15977	0.010605	0.066553	15.026	1.4200	1.9886	157.11	21.231	30.284	168.30	32.954	4.8742	0.0063410
69.980	0.038434	29.936	0.033405	-3.8394	-3.8381	73.719	31.649	56.431	925.94	-0.37955	220.42	0.15956	0.010580	0.067504	14.814	1.4219	1.9912	157.02	21.235	30.297	168.40	32.855	4.8820	0.0063525
70.086	0.039030	29.919	0.033423	-3.8335	-3.8322	73.804	31.630	56.439	924.88	-0.37910	219.35	0.15935	0.010556	0.068464	14.606	1.4237	1.9938	156.93	21.239	30.310	168.51	32.756	4.8899	0.0063640
70.191	0.039633	29.903	0.033441	-3.8276	-3.8262	73.888	31.611	56.447	923.82	-0.37865	218.28	0.15914	0.010531	0.069435	14.402	1.4256	1.9964	156.84	21.243	30.323	168.61	32.658	4.8978	0.0063755
70.296	0.040243	29.887	0.033459	-3.8216	-3.8203	73.973	31.591	56.456	922.76	-0.37820	217.22	0.15893	0.010506	0.070416	14.201	1.4275	1.9990	156.76	21.248	30.336	168.71	32.561	4.9056	0.0063871
70.401	0.040861	29.871	0.033477	-3.8157	-3.8144	74.057	31.572	56.464	921.70	-0.37774	216.17	0.15872	0.010482	0.071408	14.004	1.4294	2.0016	156.67	21.252	30.349	168.81	32.464	4.9135	0.0063986
70.506	0.041486	29.855	0.033495	-3.8098	-3.8084	74.141	31.553	56.472	920.64	-0.37728	215.13	0.15851	0.010457	0.072411	13.810	1.4312	2.0041	156.58	21.257	30.363	168.91	32.368	4.9214	0.0064101
70.611	0.042118	29.839	0.033513	-3.8039	-3.8025	74.225	31.534	56.480	919.58	-0.37682	214.09	0.15830	0.010433	0.073424	13.619	1.4331	2.0067	156.50	21.261	30.376	169.01	32.272	4.9293	0.0064217
70.716	0.042758	29.823	0.033532	-3.7979	-3.7965	74.309	31.515	56.489	918.52	-0.37635	213.06	0.15809	0.010408	0.074449	13.432	1.4349	2.0093	156.41	21.266	30.390	169.11	32.177	4.9372	0.0064332
70.821	0.043406	29.806	0.033550	-3.7920	-3.7906	74.393	31.496	56.497	917.46	-0.37589	212.04	0.15788	0.010383	0.075484	13.248	1.4368	2.0118	156.32	21.270	30.404	169.22	32.082	4.9451	0.0064448
70.926	0.044061	29.790	0.033568	-3.7861	-3.7846	74.476	31.477	56.506	916.40	-0.37542	211.03	0.15767	0.010359	0.076530	13.067	1.4387	2.0144	156.24	21.275	30.417	169.32	31.988	4.9530	0.0064564
71.031	0.044724	29.774	0.033586	-3.7802	-3.7787	74.560	31.458	56.514	915.34	-0.37494	210.02	0.15746	0.010334	0.077587	12.889	1.4405	2.0169	156.15	21.279	30.431	169.42	31.894	4.9609	0.0064679
71.136	0.045395	29.758	0.033605	-3.7742	-3.7727	74.643	31.438	56.523	914.29	-0.37447	209.02	0.15725	0.010310	0.078655	12.714	1.4424	2.0195	156.07	21.284	30.445	169.51	31.801	4.9688	0.0064795
71.241	0.046074	29.742	0.033623	-3.7683	-3.7668	74.726	31.420	56.532	913.23	-0.37399	208.03	0.15704	0.010285	0.079735	12.542	1.4442	2.0220	155.98	21.288	30.460	169.61	31.708	4.9767	0.0064911
71.346	0.046760	29.725	0.033641	-3.7624	-3.7608	74.810	31.401	56.541	912.17	-0.37351	207.04	0.15683	0.010261	0.080826	12.372	1.4460	2.0246	155.90	21.293	30.474	169.71	31.616	4.9846	0.0065027
