Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
21.557	0.14156	34.448	0.029029	0.020856	0.024965	1.1357	11.565	21.129	1084.0	-0.82601	12.260	0.10382	0.0017072	0.89527	1.1170	0.75825	0.91637	42.487	13.113	25.373	362.63	17.124	1.0635	0.018994
21.657	0.14540	34.387	0.029080	0.022923	0.027151	1.2317	11.578	21.259	1081.0	-0.81492	12.164	0.10382	0.0016901	0.91745	1.0900	0.75876	0.91724	42.331	13.123	25.480	363.11	17.032	1.0693	0.019130
21.757	0.14931	34.326	0.029132	0.025002	0.029351	1.3278	11.590	21.389	1077.9	-0.80376	12.069	0.10381	0.0016730	0.94003	1.0638	0.75926	0.91810	42.177	13.134	25.589	363.58	16.941	1.0750	0.019266
21.857	0.15330	34.264	0.029185	0.027091	0.031565	1.4240	11.603	21.522	1074.8	-0.79254	11.975	0.10380	0.0016559	0.96302	1.0384	0.75976	0.91894	42.023	13.146	25.700	364.04	16.851	1.0808	0.019404
21.957	0.15736	34.202	0.029238	0.029192	0.033793	1.5203	11.616	21.656	1071.6	-0.78125	11.883	0.10378	0.0016388	0.98642	1.0138	0.76023	0.91976	41.870	13.157	25.814	364.50	16.761	1.0866	0.019542
22.057	0.16149	34.140	0.029292	0.031305	0.036035	1.6167	11.629	21.792	1068.4	-0.76988	11.791	0.10377	0.0016217	1.0102	0.98986	0.76070	0.92055	41.718	13.169	25.930	364.95	16.672	1.0924	0.019682
22.157	0.16571	34.077	0.029346	0.033429	0.038291	1.7132	11.641	21.929	1065.3	-0.75844	11.700	0.10375	0.0016046	1.0345	0.96666	0.76115	0.92133	41.567	13.181	26.048	365.40	16.584	1.0982	0.019822
22.257	0.17000	34.013	0.029400	0.035564	0.040562	1.8097	11.654	22.068	1062.1	-0.74692	11.610	0.10373	0.0015876	1.0592	0.94413	0.76159	0.92209	41.417	13.193	26.170	365.84	16.496	1.1041	0.019963
22.357	0.17437	33.950	0.029455	0.037712	0.042848	1.9064	11.667	22.209	1058.8	-0.73533	11.521	0.10371	0.0015705	1.0843	0.92226	0.76202	0.92283	41.267	13.205	26.293	366.27	16.409	1.1099	0.020106
22.457	0.17881	33.885	0.029511	0.039871	0.045148	2.0032	11.679	22.352	1055.6	-0.72365	11.433	0.10369	0.0015535	1.1099	0.90102	0.76243	0.92354	41.118	13.218	26.420	366.69	16.323	1.1158	0.020249
22.557	0.18334	33.821	0.029568	0.042043	0.047464	2.1002	11.692	22.497	1052.3	-0.71190	11.346	0.10366	0.0015365	1.1359	0.88038	0.76283	0.92424	40.970	13.230	26.549	367.11	16.237	1.1217	0.020394
22.657	0.18795	33.756	0.029624	0.044226	0.049794	2.1972	11.705	22.643	1049.0	-0.70005	11.260	0.10363	0.0015194	1.1623	0.86033	0.76322	0.92492	40.822	13.243	26.681	367.52	16.152	1.1277	0.020539
22.757	0.19264	33.690	0.029682	0.046422	0.052140	2.2944	11.717	22.792	1045.7	-0.68812	11.175	0.10360	0.0015025	1.1893	0.84084	0.76359	0.92557	40.675	13.257	26.816	367.93	16.067	1.1336	0.020686
22.857	0.19741	33.625	0.029740	0.048630	0.054501	2.3917	11.730	22.943	1042.3	-0.67609	11.090	0.10356	0.0014855	1.2167	0.82190	0.76395	0.92620	40.529	13.270	26.954	368.32	15.983	1.1396	0.020834
22.957	0.20227	33.558	0.029799	0.050850	0.056878	2.4892	11.742	23.096	1038.9	-0.66397	11.007	0.10353	0.0014685	1.2446	0.80349	0.76429	0.92681	40.383	13.284	27.096	368.71	15.900	1.1456	0.020983
23.057	0.20721	33.492	0.029858	0.053083	0.059270	2.5867	11.755	23.251	1035.5	-0.65176	10.924	0.10349	0.0014516	1.2729	0.78558	0.76462	0.92740	40.238	13.298	27.240	369.10	15.817	1.1516	0.021134
23.157	0.21224	33.424	0.029918	0.055329	0.061679	2.6845	11.767	23.408	1032.1	-0.63944	10.842	0.10345	0.0014346	1.3018	0.76817	0.76493	0.92797	40.094	13.312	27.387	369.47	15.735	1.1577	0.021285
23.257	0.21735	33.357	0.029979	0.057588	0.064104	2.7824	11.780	23.568	1028.7	-0.62702	10.761	0.10340	0.0014177	1.3312	0.75123	0.76524	0.92851	39.950	13.327	27.538	369.84	15.653	1.1637	0.021438
23.357	0.22254	33.289	0.030040	0.059859	0.066545	2.8804	11.793	23.730	1025.2	-0.61449	10.681	0.10336	0.0014008	1.3610	0.73474	0.76552	0.92903	39.807	13.342	27.693	370.21	15.571	1.1698	0.021592
23.457	0.22783	33.220	0.030102	0.062144	0.069002	2.9786	11.805	23.894	1021.7	-0.60186	10.601	0.10331	0.0013839	1.3914	0.71870	0.76579	0.92953	39.664	13.357	27.850	370.56	15.491	1.1760	0.021747
23.557	0.23320	33.151	0.030165	0.064442	0.071477	3.0770	11.818	24.061	1018.2	-0.58911	10.522	0.10326	0.0013671	1.4223	0.70309	0.76605	0.93001	39.522	13.372	28.012	370.91	15.410	1.1821	0.021903
23.657	0.23866	33.081	0.030229	0.066754	0.073968	3.1756	11.830	24.231	1014.6	-0.57624	10.444	0.10321	0.0013502	1.4537	0.68789	0.76629	0.93046	39.380	13.388	28.177	371.26	15.331	1.1883	0.022061
23.757	0.24421	33.011	0.030293	0.069079	0.076477	3.2743	11.843	24.403	1011.0	-0.56325	10.366	0.10315	0.0013334	1.4857	0.67309	0.76651	0.93088	39.239	13.403	28.346	371.59	15.251	1.1945	0.022220
23.857	0.24985	32.941	0.030358	0.071418	0.079003	3.3732	11.855	24.578	1007.4	-0.55015	10.290	0.10309	0.0013166	1.5182	0.65867	0.76672	0.93129	39.098	13.419	28.519	371.92	15.173	1.2008	0.022381
23.957	0.25558	32.870	0.030423	0.073771	0.081546	3.4723	11.868	24.756	1003.8	-0.53691	10.214	0.10303	0.0012998	1.5513	0.64463	0.76691	0.93167	38.958	13.436	28.696	372.24	15.094	1.2070	0.022543
24.057	0.26140	32.798	0.030490	0.076137	0.084108	3.5716	11.880	24.937	1000.1	-0.52354	10.138	0.10297	0.0012830	1.5849	0.63095	0.76709	0.93202	38.818	13.452	28.877	372.56	15.016	1.2133	0.022706
24.157	0.26732	32.726	0.030557	0.078518	0.086687	3.6711	11.893	25.121	996.44	-0.51004	10.064	0.10290	0.0012662	1.6191	0.61762	0.76725	0.93235	38.678	13.469	29.063	372.87	14.939	1.2197	0.022871
24.257	0.27333	32.653	0.030625	0.080914	0.089285	3.7708	11.905	25.308	992.72	-0.49639	9.9895	0.10283	0.0012495	1.6539	0.60463	0.76739	0.93266	38.539	13.486	29.253	373.17	14.862	1.2261	0.023038
24.357	0.27943	32.580	0.030694	0.083324	0.091901	3.8708	11.918	25.498	988.98	-0.48260	9.9160	0.10277	0.0012328	1.6893	0.59197	0.76752	0.93294	38.400	13.504	29.448	373.46	14.785	1.2325	0.023205
24.457	0.28563	32.506	0.030763	0.085749	0.094536	3.9709	11.930	25.691	985.21	-0.46867	9.8432	0.10271	0.0012161	1.7253	0.57962	0.76763	0.93319	38.262	13.522	29.647	373.75	14.709	1.2389	0.023375
24.557	0.29193	32.432	0.030834	0.088188	0.097190	4.0713	11.943	25.888	981.41	-0.45458	9.7709	0.10265	0.0011994	1.7618	0.56759	0.76772	0.93342	38.124	13.540	29.852	374.03	14.633	1.2454	0.023546
24.657	0.29832	32.357	0.030905	0.090643	0.099863	4.1719	11.956	26.089	977.58	-0.44033	9.6993	0.10258	0.0011827	1.7991	0.55585	0.76780	0.93362	37.986	13.558	30.061	374.31	14.558	1.2519	0.023719
24.757	0.30481	32.282	0.030977	0.093113	0.10256	4.2728	11.968	26.293	973.72	-0.42592	9.6282	0.10251	0.0011661	1.8369	0.54439	0.76785	0.93379	37.849	13.577	30.276	374.57	14.483	1.2585	0.023893
24.857	0.31140	32.206	0.031050	0.095599	0.10527	4.3739	11.981	26.502	969.83	-0.41134	9.5576	0.10244	0.0011495	1.8754	0.53322	0.76789	0.93394	37.711	13.595	30.496	374.83	14.408	1.2651	0.024069
24.957	0.31809	32.129	0.031124	0.098100	0.10800	4.4752	11.993	26.714	965.91	-0.39659	9.4877	0.10236	0.0011329	1.9145	0.52232	0.76791	0.93406	37.574	13.615	30.722	375.09	14.334	1.2718	0.024247
25.057	0.32488	32.052	0.031200	0.10062	0.11075	4.5769	12.006	26.930	961.96	-0.38166	9.4182	0.10229	0.0011163	1.9543	0.51168	0.76791	0.93415	37.438	13.634	30.954	375.34	14.260	1.2785	0.024427
