Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
139.63	0.62900	23.533	0.042494	1.6062	1.6329	12.861	31.225	61.059	1041.9	-0.21995	67.819	0.14394	0.0076279	0.62121	1.6098	7.7791	8.7916	64.130	27.521	41.748	285.87	19.901	5.3753	0.016027
139.80	0.63447	23.514	0.042528	1.6162	1.6431	12.933	31.216	61.108	1040.0	-0.21808	67.609	0.14370	0.0075977	0.62640	1.5964	7.7812	8.7940	64.085	27.533	41.809	285.90	19.864	5.3821	0.016061
139.96	0.63996	23.495	0.042562	1.6262	1.6534	13.004	31.208	61.158	1038.1	-0.21620	67.399	0.14347	0.0075675	0.63163	1.5832	7.7832	8.7964	64.039	27.546	41.871	285.92	19.827	5.3889	0.016094
140.13	0.64549	23.477	0.042595	1.6362	1.6637	13.076	31.200	61.208	1036.2	-0.21431	67.191	0.14323	0.0075373	0.63689	1.5701	7.7853	8.7988	63.994	27.559	41.934	285.95	19.791	5.3957	0.016128
140.30	0.65106	23.458	0.042629	1.6462	1.6739	13.147	31.191	61.259	1034.3	-0.21240	66.983	0.14299	0.0075072	0.64219	1.5572	7.7874	8.8012	63.949	27.572	41.996	285.97	19.755	5.4025	0.016162
140.46	0.65666	23.439	0.042663	1.6562	1.6842	13.219	31.183	61.309	1032.4	-0.21049	66.776	0.14275	0.0074770	0.64752	1.5444	7.7894	8.8035	63.904	27.585	42.060	285.99	19.718	5.4094	0.016196
140.63	0.66230	23.421	0.042698	1.6662	1.6945	13.290	31.175	61.360	1030.5	-0.20856	66.570	0.14252	0.0074469	0.65289	1.5317	7.7915	8.8059	63.859	27.599	42.124	286.01	19.682	5.4162	0.016230
140.80	0.66797	23.402	0.042732	1.6762	1.7048	13.362	31.167	61.412	1028.6	-0.20661	66.364	0.14228	0.0074168	0.65829	1.5191	7.7935	8.8082	63.814	27.612	42.188	286.03	19.647	5.4231	0.016265
140.96	0.67367	23.383	0.042766	1.6862	1.7151	13.433	31.159	61.464	1026.7	-0.20465	66.159	0.14204	0.0073868	0.66372	1.5067	7.7955	8.8105	63.769	27.625	42.253	286.05	19.611	5.4299	0.016299
141.13	0.67941	23.364	0.042801	1.6963	1.7254	13.504	31.151	61.516	1024.8	-0.20268	65.955	0.14180	0.0073567	0.66920	1.4943	7.7975	8.8128	63.724	27.638	42.318	286.07	19.575	5.4368	0.016333
141.29	0.68519	23.345	0.042835	1.7063	1.7357	13.576	31.143	61.568	1022.9	-0.20070	65.751	0.14157	0.0073267	0.67470	1.4821	7.7995	8.8150	63.679	27.652	42.384	286.09	19.540	5.4437	0.016368
141.46	0.69100	23.326	0.042870	1.7164	1.7460	13.647	31.135	61.621	1021.0	-0.19870	65.548	0.14133	0.0072967	0.68024	1.4701	7.8015	8.8173	63.634	27.665	42.450	286.11	19.505	5.4506	0.016403
141.63	0.69685	23.307	0.042905	1.7264	1.7563	13.718	31.127	61.675	1019.1	-0.19669	65.346	0.14109	0.0072667	0.68582	1.4581	7.8034	8.8195	63.589	27.679	42.516	286.13	19.470	5.4575	0.016437
141.79	0.70273	23.288	0.042940	1.7365	1.7667	13.789	31.119	61.728	1017.2	-0.19467	65.144	0.14086	0.0072367	0.69144	1.4463	7.8054	8.8217	63.545	27.692	42.584	286.14	19.435	5.4644	0.016472
