Temperature (K)	Pressure (MPa)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
548.6262	5.990002	42.08573	0.02376102	21.71669	21.85901	54.52833	55.74207	93.85610	1034.429	0.08897405	95.35484	0.5869301	0.02005178	1.707588	0.5856214	46.65921	50.16708	106.1264	48.71836	87.82049	493.8835	13.11343	18.43528	0.05902281
549.2494	6.047445	42.02600	0.02379479	21.77318	21.91708	54.63162	55.71846	94.04486	1031.453	0.09147626	95.10428	0.5861277	0.01990574	1.725398	0.5795763	46.65084	50.15579	106.0449	48.83125	88.29440	493.6252	13.04950	18.46168	0.05927138
549.8726	6.105307	41.96603	0.02382880	21.82976	21.97525	54.73495	55.69506	94.23596	1028.468	0.09400661	94.85435	0.5853218	0.01975975	1.743384	0.5735972	46.64229	50.14428	105.9632	48.94456	88.77397	493.3632	12.98591	18.48820	0.05952210
550.4959	6.163592	41.90582	0.02386304	21.88643	22.03351	54.83833	55.67188	94.42947	1025.472	0.09656555	94.60504	0.5845125	0.01961381	1.761546	0.5676832	46.63358	50.13255	105.8815	49.05829	89.25930	493.0976	12.92265	18.51483	0.05977502
551.1191	6.222300	41.84536	0.02389751	21.94318	22.09188	54.94175	55.64891	94.62542	1022.467	0.09915355	94.35633	0.5836997	0.01946792	1.779887	0.5618335	46.62469	50.12059	105.7996	49.17245	89.75050	492.8284	12.85973	18.54157	0.06003016
551.7423	6.281435	41.78466	0.02393223	22.00002	22.15035	55.04523	55.62616	94.82386	1019.452	0.1017711	94.10820	0.5828835	0.01932209	1.798409	0.5560472	46.61563	50.10841	105.7175	49.28704	90.24768	492.5554	12.79712	18.56842	0.06028757
552.3655	6.340999	41.72370	0.02396719	22.05695	22.20893	55.14875	55.60363	95.02483	1016.427	0.1044187	93.86066	0.5820639	0.01917631	1.817113	0.5503234	46.60640	50.09600	105.6354	49.40206	90.75096	492.2788	12.73485	18.59540	0.06054729
552.9888	6.400992	41.66250	0.02400240	22.11397	22.26761	55.25232	55.58132	95.22839	1013.392	0.1070968	93.61368	0.5812407	0.01903059	1.836003	0.5446614	46.59698	50.08335	105.5531	49.51752	91.26047	491.9984	12.67289	18.62249	0.06080936
553.6120	6.461419	41.60105	0.02403786	22.17108	22.32640	55.35595	55.55924	95.43459	1010.346	0.1098060	93.36725	0.5804140	0.01888492	1.855080	0.5390602	46.58738	50.07048	105.4706	49.63342	91.77632	491.7143	12.61124	18.64971	0.06107383
554.2352	6.522280	41.53933	0.02407357	22.22828	22.38529	55.45963	55.53739	95.64347	1007.291	0.1125467	93.12137	0.5795839	0.01873932	1.874347	0.5335190	46.57761	50.05737	105.3880	49.74977	92.29863	491.4264	12.54992	18.67705	0.06134075
